id,query,search_id,source,description,alt,image_url
1,김밥,1511387112,encykorea,"김밥은 김 위에 밥을 펴놓고 시금치, 계란, 단무지, 오이, 우엉, 햄, 소고기, 참치, 멸치 등 여러 가지 재료로 소를 넣어 돌돌 말아 싼 음식이다. 오늘날의 김밥은 일제강점기 일본으로부터 전해진 김초밥이 우리나라 방식으로 토착화된 음식으로, 김에 밥을 싸서 먹는 형태, 김부스러기를 밥에 섞어 성형한 주먹밥 형태, 식초물로 간을 한 밥에 여러 가지 재료를",김밥,https://devin.aks.ac.kr/image/78012f15-581b-411f-a728-14c3ecdd9cad?preset=page
2,김밥,1511387112,folkency,김 위에 밥을 올려 고루 펴고 여러 가지 재료를 소로 넣어 돌돌 만 후 일정한 크기로 썬 음식.,,https://folkency.nfm.go.kr/api/file/images/82588?type=t
3,김밥,1511387112,wikimedia,"Gimbap, Korean seaweed rolls",Gimbap (pixabay).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Gimbap_%28pixabay%29.jpg/250px-Gimbap_%28pixabay%29.jpg
4,김밥,1511387112,wikimedia,Gimbap on an express KTX train,KTX gimbap-dosirak.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/KTX_gimbap-dosirak.jpg/330px-KTX_gimbap-dosirak.jpg
5,김밥,1511387112,wikimedia,김밥. 2015년 4월 27일. 최광모.,Gimbap 02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Gimbap_02.jpg/120px-Gimbap_02.jpg
6,김밥,1511387112,wikimedia,Gimbap (seaweed rice roll),Gimbap 8.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Gimbap_8.jpg/330px-Gimbap_8.jpg
7,김밥,1511387112,wikimedia,"The Korean word ""김밥""",Gimbap sign logo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Gimbap_sign_logo.jpg/500px-Gimbap_sign_logo.jpg
8,김밥,1511387112,wikimedia,Gimbap (seaweed rice roll),Gimbap 6.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Gimbap_6.jpg/250px-Gimbap_6.jpg
9,김밥,1511387112,wikimedia,"Bulgogi gimbap (Roll of nori seaweed and white rice, bulgogi (marinated beef) and vegetables) at Okja Restaurant, Milan, 2022","Bulgogi gimbap at Okja Restaurant, Milan, 2022 01.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Bulgogi_gimbap_at_Okja_Restaurant%2C_Milan%2C_2022_01.jpg/330px-Bulgogi_gimbap_at_Okja_Restaurant%2C_Milan%2C_2022_01.jpg
10,김밥,1511387112,wikimedia,"Bulgogi gimbap (Roll of nori seaweed and white rice, bulgogi (marinated beef) and vegetables) at Okja Restaurant, Milan, 2022","Bulgogi gimbap at Okja Restaurant, Milan, 2022 03.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Bulgogi_gimbap_at_Okja_Restaurant%2C_Milan%2C_2022_03.jpg/250px-Bulgogi_gimbap_at_Okja_Restaurant%2C_Milan%2C_2022_03.jpg
